userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034069000000,,move,470,752,0.207843,0,,,,,,
,1,1743239034071590797,,,,,,,-2.18591,7.99185,4.98473,,,
,1,1743239034071865452,,,,,,,,,,0.0122173,0.0348193,-0.00916298
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034086000000,,move,489,738,0.203922,0,,,,,,
,1,1743239034091671157,,,,,,,-2.23379,7.93438,5.47554,,,
,1,1743239034091945812,,,,,,,,,,-0.0122173,0.00610865,-0.00549779
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034102000000,,move,509,727,0.203922,0,,,,,,
,1,1743239034111751516,,,,,,,-2.22421,7.76679,5.88734,,,
,1,1743239034111995655,,,,,,,,,,0.0232129,0.00855211,-0.0018326
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034119000000,,move,526,717,0.207843,0,,,,,,
,1,1743239034131831877,,,,,,,-2.17872,7.68778,5.68144,,,
,1,1743239034132076015,,,,,,,,,,0.12706,0.0629191,-0.00916298
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034136000000,,move,538,708,0.203922,0,,,,,,
,1,1743239034151912237,,,,,,,-2.28886,7.79552,5.14514,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034152000000,,move,550,699,0.203922,0,,,,,,
,1,1743239034152156375,,,,,,,,,,0.213192,0.161879,-0.00549779
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034169000000,,move,562,690,0.203922,0,,,,,,
,1,1743239034171992597,,,,,,,-2.28646,7.86974,5.09965,,,
,1,1743239034172236735,,,,,,,,,,0.230907,0.189368,0.0195477
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034186000000,,move,571,681,0.203922,0,,,,,,
,1,1743239034192072957,,,,,,,-1.95846,7.89608,4.77883,,,
,1,1743239034192317095,,,,,,,,,,0.232129,0.196699,0.0384845
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034203000000,,move,576,673,0.207843,0,,,,,,
,1,1743239034212153317,,,,,,,-2.23858,8.01339,4.87699,,,
,1,1743239034212397455,,,,,,,,,,0.196088,0.231518,0.0128282
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034219000000,,move,579,667,0.207843,0,,,,,,
,1,1743239034232233677,,,,,,,-2.09732,7.96551,4.707,,,
,1,1743239034232477815,,,,,,,,,,0.156382,0.271835,0.00305433
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034236000000,,move,582,663,0.211765,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034252000000,,move,584,660,0.207843,0,,,,,,
,1,1743239034252314037,,,,,,,-2.05662,8.08282,4.47955,,,
,1,1743239034252558175,,,,,,,,,,0.130114,0.375682,-0.0177151
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034269000000,,move,586,656,0.203922,0,,,,,,
,1,1743239034272394397,,,,,,,-2.54264,8.02297,4.33829,,,
,1,1743239034272638535,,,,,,,,,,0.0897972,0.350026,-0.0415388
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239034286000000,,move,592,651,0.2,0,,,,,,
,1,1743239034292474757,,,,,,,-2.55222,7.87453,4.86023,,,
,1,1743239034292718896,,,,,,,,,,0.0323759,0.223577,-0.0189368
