userid,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469560000000,,move,852.945,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469581000000,,move,858.323,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469611000000,,move,860.955,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469631000000,,move,868.108,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469697000000,,move,885.472,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469709000000,,move,905.449,916.949,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469731000000,,move,905.375,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469745000000,,move,908.885,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469762000000,,move,914.941,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469781000000,,move,921.394,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469819000000,,move,914.941,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295469849000000,,up,914.941,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295470958000000,,down,208.993,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295470997000000,,move,216.289,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471014000000,,move,223.364,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471093000000,,move,286.479,922.945,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471114000000,,move,450.45,918.948,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471131000000,,move,601.048,905.94,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471147000000,,move,643.184,903.536,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471164000000,,move,669.541,901.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471181000000,,move,686.879,901.942,1,0.000000596046,,,
YKcGLY16nQff5VVeIHrIB1EEfvf1,1739295471197000000,,move,702.455,901.942,1,0.000000596046,,,
